2024-04-25 15:52:46,967 - Episode: 65/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 15:52:50,737 - Episode: 66/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 15:52:55,064 - Episode: 67/1000, Total Reward: 2.399999999999994, Accuracy: 0.00
2024-04-25 15:52:59,183 - Episode: 68/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 15:53:03,305 - Episode: 69/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 15:53:08,009 - Episode: 70/1000, Total Reward: 1.099999999999997, Accuracy: 0.00
2024-04-25 15:53:12,141 - Episode: 71/1000, Total Reward: 1.099999999999997, Accuracy: 0.00
2024-04-25 15:53:16,219 - Episode: 72/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-25 15:53:20,215 - Episode: 73/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 15:53:24,597 - Episode: 74/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-25 15:53:28,768 - Episode: 75/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-25 15:53:33,000 - Episode: 76/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 15:53:37,264 - Episode: 77/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:53:41,401 - Episode: 78/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 15:53:45,462 - Episode: 79/1000, Total Reward: -4.800000000000001, Accuracy: 0.00
2024-04-25 15:53:49,550 - Episode: 80/1000, Total Reward: -7.500000000000001, Accuracy: 0.00
2024-04-25 15:53:53,676 - Episode: 81/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:53:58,011 - Episode: 82/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-25 15:54:02,013 - Episode: 83/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 15:54:06,782 - Episode: 84/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:54:10,813 - Episode: 85/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-25 15:54:14,788 - Episode: 86/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 15:54:19,163 - Episode: 87/1000, Total Reward: 1.8999999999999941, Accuracy: 0.00
2024-04-25 15:54:23,510 - Episode: 88/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
2024-04-25 15:54:27,886 - Episode: 89/1000, Total Reward: 2.999999999999992, Accuracy: 0.00
2024-04-25 15:54:32,036 - Episode: 90/1000, Total Reward: -1.2999999999999994, Accuracy: 0.00
2024-04-25 15:54:36,609 - Episode: 91/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 15:54:41,083 - Episode: 92/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 15:54:45,632 - Episode: 93/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:54:50,401 - Episode: 94/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:54:55,037 - Episode: 95/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:54:59,489 - Episode: 96/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-25 15:55:04,194 - Episode: 97/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:55:08,540 - Episode: 98/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-25 15:55:13,021 - Episode: 99/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:55:17,413 - Episode: 100/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:55:21,958 - Episode: 101/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-25 15:55:26,587 - Episode: 102/1000, Total Reward: -4.800000000000001, Accuracy: 0.00
2024-04-25 15:55:31,844 - Episode: 103/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-25 15:55:37,038 - Episode: 104/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 15:55:41,601 - Episode: 105/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 15:55:46,123 - Episode: 106/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 15:55:50,555 - Episode: 107/1000, Total Reward: -0.39999999999999947, Accuracy: 0.00
2024-04-25 15:55:55,460 - Episode: 108/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 15:56:00,198 - Episode: 109/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 15:56:04,929 - Episode: 110/1000, Total Reward: 3.199999999999992, Accuracy: 0.00
2024-04-25 15:56:09,583 - Episode: 111/1000, Total Reward: 1.2999999999999963, Accuracy: 0.00
2024-04-25 15:56:14,287 - Episode: 112/1000, Total Reward: 4.699999999999989, Accuracy: 0.00
2024-04-25 15:56:18,719 - Episode: 113/1000, Total Reward: 1.6999999999999948, Accuracy: 0.00
2024-04-25 15:56:23,437 - Episode: 114/1000, Total Reward: 2.999999999999992, Accuracy: 0.00
2024-04-25 15:56:28,189 - Episode: 115/1000, Total Reward: 2.7999999999999927, Accuracy: 0.00
2024-04-25 15:56:33,006 - Episode: 116/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
